Periodo;"Kennedy - Ken
(µg/m³)";"Carvajal - Carv
(µg/m³)";"Centro de Alto rendimiento - CdAR
(µg/m³)";"Usaquén - Usaq
(µg/m³)";"Puente Aranda - Puen
(µg/m³)";"San Cristóbal - SanC
(µg/m³)";"Tunal - Tunal
(µg/m³)";"Guaymaral - Gua
(µg/m³)";"Las Ferias - LFer
(µg/m³)";"MinAmbiente - MinA
(µg/m³)";"Suba - Suba
(µg/m³)";"Fontibon - Font25
(µg/m³)"
2019-01;25;29;15;15;18;13;16;14;13;14;17;14
2019-02;35;49;26;24;25;18;25;23;20;21;26;22
2019-03;37;52;28;27;27;21;28;25;28;25;29;25
2019-04;28;38;19;18;20;14;20;15;19;18;18;24
2019-05;23;34;13;12;18;9;15;10;12;13;11;18
2019-06;16;30;7;8;12;;8;7;8;7;8;13
2019-07;18;30;8;9;12;5;8;8;8;7;10;14
2019-08;20;34;10;10;;;11;12;10;10;15;16
2019-09;24;34;12;12;;;11;11;8;11;14;18
2019-10;26;38;14;10;NaN;NaN;15;11;1;12;14;20
2019-11;26;33;15;14;NaN;NaN;17;13;14;14;16;19
2019-12;27;34;13;12;15;8;15;14;16;13;15;20
